Sender RSU ID,Receiver RSU ID,Send Time,Receive Time
bus6,bus2,106,106.672149324832
bus6,bus2,106,106.672149325132
bus6,bus2,106,106.672149333225
bus7,car1,106,106.785288848693
bus7,car1,106,106.785288907856
bus7,car1,106,106.785288911861
bus7,car1,106,106.785288925506
bus7,car1,106,106.785288929989
bus7,car1,106,106.785288931521
bus7,car1,106,106.785288933038
bus7,car1,106,106.785288933327
bus7,car1,106,106.785288941462
bus7,car1,106,106.785288952567
bus7,car1,106,106.78528895594
bus7,car1,106,106.785288961437
bus7,car1,106,106.785288966953
bus2,car1,106,106.786435848693
bus2,car1,106,106.786435907856
bus2,car1,106,106.786435911861
bus2,car1,106,106.786435925506
bus2,car1,106,106.786435929989
bus2,car1,106,106.786435931521
bus2,car1,106,106.786435933038
bus2,car1,106,106.786435933327
bus2,car1,106,106.786435941462
bus2,car1,106,106.786435952567
bus2,car1,106,106.78643595594
bus2,car1,106,106.786435961437
bus2,car1,106,106.786435966953
car1,bus6,106,106.854337559722
car1,bus6,106,106.854337613591
car1,bus6,106,106.854337626652
car1,bus6,106,106.85433763312
car1,bus6,106,106.854337645127
car1,bus6,106,106.854337647932
car1,bus6,106,106.854337652897
car1,bus6,106,106.854337654797
car1,bus6,106,106.854337658273
car1,bus6,106,106.854337666428
car1,bus6,106,106.854337669889
car1,bus6,106,106.854337675962
bus5,bus8,106,106.954285317703
bus5,bus8,106,106.954285342183
bus5,bus8,106,106.954285344132
bus5,bus8,106,106.954285359435
bus5,bus8,106,106.954285382917
bus5,bus8,106,106.954285396718
bus6,bus7,106,106.97160289873
bus6,bus7,106,106.971602913827
bus6,bus7,106,106.97160291793
bus6,bus7,106,106.97160291957
bus6,bus7,106,106.971602920776
bus6,bus7,106,106.971602946914
bus6,bus7,106,106.971602947117
bus6,bus7,106,106.971602988775
bus6,bus7,106,106.971602993001
bus6,bus7,106,106.971602997605
bus6,bus7,106,106.971603009609
bus8,bus5,106,106.997188371008
bus8,bus5,106,106.997188401262
bus8,bus5,106,106.997188431601
bus8,bus5,106,106.997188455947
bus1,car1,106,107.054396635754
bus1,car1,106,107.054396691169
bus1,car1,106,107.054396703146
bus1,car1,106,107.054396717759
bus1,car1,106,107.05439672065
bus1,car1,106,107.054396722945
bus1,car1,106,107.054396727909
bus1,car1,106,107.054396733118
bus1,car1,106,107.054396735685
bus1,car1,106,107.054396746563
bus1,car1,106,107.054396751285
bus1,car1,106,107.054396754826
bus1,car1,106,107.05439675607
bus7,car1,107,107.097916877333
bus7,car1,107,107.097916932748
bus7,car1,107,107.097916944725
bus7,car1,107,107.097916959338
bus7,car1,107,107.097916962229
bus7,car1,107,107.097916964524
bus7,car1,107,107.097916969488
bus7,car1,107,107.097916974697
bus7,car1,107,107.097916977264
bus7,car1,107,107.097916988142
bus7,car1,107,107.097916992864
bus7,car1,107,107.097916996405
bus7,car1,107,107.097916997649
bus1,car1,107,107.18154905479
bus1,car1,107,107.181549110205
bus1,car1,107,107.181549122182
bus1,car1,107,107.181549136795
bus1,car1,107,107.181549139686
bus1,car1,107,107.181549141981
bus1,car1,107,107.181549146945
bus1,car1,107,107.181549152154
bus1,car1,107,107.181549154721
bus1,car1,107,107.181549165599
bus1,car1,107,107.181549170321
bus1,car1,107,107.181549173862
bus1,car1,107,107.181549175106
bus8,bus5,107,107.359506162468
bus8,bus5,107,107.359506206289
bus8,bus5,107,107.359506228844
bus8,bus5,107,107.359506262024
bus6,bus1,107,107.363763249928
bus6,bus1,107,107.363763261106
bus6,bus1,107,107.363763268556
